node,quantity,text
3,1018,No text provided
4,425,No text provided
5,358,No text provided
6,328,No text provided
7,11,No text provided
8,8,No text provided
9,11,No text provided
10,217,No text provided
11,66,No text provided
12,209,No text provided
14,61,No text provided
15,3,No text provided
16,3,No text provided
17,10,No text provided
18,1,No text provided
19,5,No text provided
22,1,No text provided
24,242,No text provided
25,28,No text provided
26,210,No text provided
27,36,No text provided
28,196,No text provided
29,225,No text provided
30,199,No text provided
31,214,No text provided
32,161,No text provided
33,164,No text provided
34,159,No text provided
35,232,No text provided
36,91,No text provided
37,136,No text provided
38,131,No text provided
39,4,No text provided
40,2,No text provided
41,1,No text provided
42,193,No text provided
43,2,No text provided
44,39,No text provided
45,242,No text provided
46,234,No text provided
47,40,No text provided
48,43,No text provided
49,89,No text provided
50,97,No text provided
51,91,No text provided
52,9,No text provided
53,88,No text provided
54,87,No text provided
55,118,No text provided
56,85,No text provided
57,32,No text provided
58,31,No text provided
59,131,No text provided
60,84,No text provided
61,48,No text provided
62,88,No text provided
63,93,No text provided
64,82,No text provided
65,115,No text provided
66,37,No text provided
67,75,No text provided
68,180,No text provided
69,46,No text provided
70,129,No text provided
71,240,No text provided
72,122,No text provided
73,79,No text provided
74,34,No text provided
75,151,No text provided
76,29,No text provided
77,121,No text provided
78,147,No text provided
79,25,No text provided
80,119,No text provided
81,121,No text provided
82,14,No text provided
83,103,No text provided
1006,611,No text provided
1009,178,No text provided
1010,70,No text provided
1011,26,No text provided
1012,33,No text provided
1013,16,No text provided
1014,4,No text provided
1015,119,No text provided
1030,147,No text provided
1031,34,No text provided
1032,109,No text provided
1033,108,No text provided
1034,107,No text provided
1039,46,No text provided
1045,21,No text provided
1048,20,No text provided
1050,0,No text provided
1051,9,No text provided
1052,6,No text provided
1056,17,No text provided
1060,196,No text provided
1063,28,No text provided
1064,156,No text provided
1065,153,No text provided
1070,182,No text provided
1071,34,No text provided
1074,141,No text provided
1078,141,No text provided
1080,221,No text provided
1081,28,No text provided
1082,78,No text provided
1083,116,No text provided
1084,77,No text provided
1085,137,No text provided
1086,102,No text provided
1090,231,No text provided
1093,100,No text provided
1096,128,No text provided
1099,115,No text provided
1111,110,No text provided
1112,95,No text provided
1113,109,No text provided
1114,108,No text provided
1115,0,No text provided
1116,91,No text provided
1117,15,No text provided
1118,95,No text provided
1119,93,No text provided
1121,103,No text provided
1122,94,No text provided
1123,91,No text provided
1144,105,No text provided
1145,99,No text provided
1146,98,No text provided
1177,18,No text provided
1178,11,No text provided
1179,190,No text provided
1180,76,No text provided
1181,46,No text provided
1182,67,No text provided
1190,10,No text provided
