id,session_id,map_id,node_id,date_stamp
10.100.20.26,8,6,1,3,1410858624
10.100.20.26,9,6,1,4,1410858627
10.100.20.26,10,6,1,5,1410858630
10.100.20.26,11,6,1,6,1410858633
10.100.20.26,12,6,1,9,1410858635
10.100.20.26,13,6,1,6,1410858636
10.100.20.26,14,6,1,11,1410858637
10.100.20.26,15,6,1,14,1410858639
10.100.20.26,16,6,1,44,1410858640
10.100.20.26,17,6,1,24,1410858641
10.100.20.26,18,6,1,45,1410858648
10.100.20.26,19,6,1,26,1410858652
10.100.20.26,20,6,1,46,1410858654
10.100.20.26,21,6,1,27,1410858655
10.100.20.26,22,6,1,46,1410858657
10.100.20.26,23,6,1,28,1410858658
10.100.20.26,24,6,1,29,1410858690
10.100.20.26,25,6,1,30,1410858693
10.100.20.26,26,6,1,31,1410858696
10.100.20.26,27,6,1,32,1410858714
10.100.20.26,28,6,1,33,1410858716
10.100.20.26,29,6,1,34,1410858718
10.100.20.26,30,6,1,35,1410858719
10.100.20.26,31,6,1,37,1410858743
10.100.20.26,32,6,1,68,1410858750
10.100.20.26,33,6,1,69,1410858753
10.100.20.26,34,6,1,68,1410858755
10.100.20.26,35,6,1,70,1410858756
10.100.20.26,36,6,1,71,1410858758
10.100.20.26,37,6,1,74,1410858759
10.100.20.26,38,6,1,71,1410858760
10.100.20.26,39,6,1,72,1410858761
10.100.20.26,40,6,1,75,1410858762
10.100.20.26,41,6,1,76,1410858763
10.100.20.26,42,6,1,75,1410858764
10.100.20.26,43,6,1,77,1410858765
10.100.20.26,44,6,1,78,1410858766
10.100.20.26,45,6,1,80,1410858767
10.100.20.26,46,6,1,81,1410858768
10.100.20.26,47,6,1,82,1410858770
10.100.20.26,48,7,1,3,1410858780
10.100.20.26,49,8,1,3,1410858907
10.100.20.26,50,9,1,3,1410858974
10.100.20.26,51,9,1,4,1410858978
10.100.20.26,52,9,1,5,1410858983
10.100.20.26,53,9,1,6,1410858985
10.100.20.26,54,10,1,3,1410858996
10.100.20.26,55,10,1,4,1410859000
10.100.20.26,56,10,1,5,1410859001
10.100.20.26,57,11,1,3,1410859970
10.100.20.26,58,12,1,3,1410860328
10.100.20.26,59,12,1,4,1410860330
10.100.20.26,60,12,1,5,1410860331
10.100.20.26,61,13,1,3,1410860336
10.100.20.26,62,14,1,3,1410860580
10.100.20.26,63,15,1,3,1410861009
10.100.20.26,64,16,1,3,1410861110
10.100.20.26,65,17,1,3,1410861921
